,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북
01,-12.28,-12.69,4.23,-2.39,4.390000000000001,4.539999999999999,-8.58,14.649999999999999,-7.6499999999999995,-8.6,8.08,-5.5,6.199999999999999,-4.44,24.43,-6.7700000000000005,-10.26
02,-5.5,-4.05,10.120000000000001,3.19,9.57,10.379999999999999,-0.8599999999999999,18.28,-0.4099999999999999,-0.44999999999999996,12.39,-1.2399999999999998,10.190000000000001,1.9800000000000002,26.23,-0.2899999999999999,-2.13
03,19.8,21.56,32.6,26.36,30.970000000000002,35.9,23.249999999999996,37.629999999999995,24.06,24.19,33.94,19.900000000000002,28.96,24.11,40.27,22.3,23.179999999999996
04,44.449999999999996,47.8,53.050000000000004,48.32,54.33,58.18000000000001,47.839999999999996,55.74,50.8,48.76,53.56999999999999,43.49,49.72,47.86,57.330000000000005,46.94,48.27
05,70.02000000000001,73.13,75.29,72.17,78.44,83.46,73.36000000000001,74.91999999999999,76.45,74.19,75.43,66.46,71.99,71.81,74.29,71.28,73.74000000000001
06,83.34,91.69000000000001,87.75,83.71,93.7,93.25999999999999,89.81,84.95,94.74000000000001,91.07000000000001,84.56,83.55,86.38,88.89,85.84,88.65,89.97
07,96.97,100.57000000000001,101.9,99.61,104.46,108.64,101.17000000000002,100.06,102.69,102.55,101.99000000000001,96.48,100.02000000000001,101.0,102.22999999999999,100.67,100.75000000000001
08,97.69000000000001,103.03999999999999,104.56,100.41999999999999,107.62,109.13,102.69,105.83,106.68,103.77999999999999,104.37,101.82000000000001,104.06,103.24000000000001,107.99,103.33000000000001,101.77000000000001
09,76.1,81.86,85.66,80.08,89.50999999999999,88.67,81.75,90.59,87.62,82.37,85.37,85.0,86.1,82.85,92.46,82.85,80.24
10,53.12,56.370000000000005,63.73,57.769999999999996,67.37,66.46,56.53,72.9,63.01,56.63,65.91,62.370000000000005,65.31,58.91,75.37,58.400000000000006,55.24
11,23.61,25.049999999999997,37.05,30.75,39.15,37.8,29.160000000000004,47.0,30.270000000000003,27.96,40.41,31.64,39.32,31.189999999999998,52.879999999999995,29.78,25.699999999999996
12,-7.210000000000001,-8.759999999999998,9.809999999999999,2.75,10.54,8.739999999999998,-1.1500000000000001,19.770000000000003,-3.67,-3.37,12.899999999999999,-0.14000000000000012,12.75,2.1900000000000004,30.0,-0.8799999999999999,-5.02
