,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북
01,265,1140,533,484,179,290,169,456,904,14,114,267,385,329,64,263,282
02,237,1097,460,448,161,253,152,411,772,25,105,259,367,292,60,271,217
03,254,1200,492,461,186,312,155,403,871,11,127,260,408,322,51,242,270
04,267,1104,466,482,171,314,181,429,890,13,117,254,378,305,66,251,248
05,274,1093,498,443,184,315,168,405,879,21,105,251,412,320,59,268,226
06,268,1081,526,466,157,246,158,388,810,7,101,227,334,343,76,285,197
07,260,1124,477,497,172,267,163,469,870,11,125,288,380,328,76,288,247
08,230,1083,497,466,175,261,150,462,867,6,119,269,411,306,61,263,264
09,256,1062,487,455,176,253,149,410,835,18,120,224,316,329,63,262,235
10,248,1094,525,452,187,281,165,432,891,17,106,261,401,297,73,264,232
11,238,1064,513,472,185,259,161,439,848,6,107,257,374,335,79,258,232
12,272,1125,505,488,191,312,172,442,917,14,114,221,366,302,67,279,246
