,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북
01,179,91,161,176,108,131,108,142,88,189,116,90,189,151,114,125,180
02,154,87,136,165,105,101,101,123,80,229,90,88,175,136,114,128,126
03,166,100,136,166,120,101,103,127,90,82,101,96,202,139,118,116,164
04,186,92,134,172,115,134,113,128,94,158,94,79,166,145,100,116,153
05,191,86,138,168,101,113,118,122,89,180,82,87,209,145,107,114,155
06,181,96,149,169,97,98,111,105,81,65,100,91,153,173,127,140,129
07,184,95,138,188,104,109,111,148,90,52,107,112,171,170,130,145,162
08,167,85,148,169,99,98,100,140,85,45,93,96,223,148,83,120,167
09,185,87,128,162,99,102,105,126,90,50,95,81,146,156,123,130,168
10,156,88,158,163,112,111,109,138,89,146,98,93,196,134,106,136,142
11,162,93,150,168,125,111,107,135,85,26,83,93,182,170,142,136,149
12,191,91,149,175,116,119,126,138,97,137,80,74,178,160,109,149,167
