,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북
01,18.355,12.415,15.6675,18.424999999999997,8.532499999999999,8.9225,10.2525,8.3475,7.635000000000001,10.8075,9.592500000000001,11.24,13.0025,13.925,8.5925,12.715,14.125
02,18.445,12.717500000000001,14.834999999999999,16.8125,9.2275,9.255,10.6125,7.985,8.3675,10.915000000000001,9.1725,10.8275,12.865,14.020000000000001,8.605,12.350000000000001,13.629999999999999
03,18.7275,14.195,16.535,18.37,11.32,11.032499999999999,13.005,8.1975,9.5925,13.17,10.592500000000001,11.6075,14.78,15.785,10.129999999999999,14.7,15.3625
04,19.6,15.02,16.6575,19.04,11.685000000000002,11.7825,13.475,7.7325,10.34,13.8225,10.834999999999999,12.3275,14.99,16.4875,10.175,15.4,16.1825
05,19.61,15.420000000000002,17.1725,19.81,11.9925,12.535,13.665,7.575,10.947500000000002,14.24,10.9425,13.0125,15.5,16.942500000000003,9.8575,15.6525,16.59
06,18.24,12.74,13.069999999999999,15.587499999999999,9.835,10.0975,11.065000000000001,6.0475,9.607499999999998,11.354999999999999,7.977500000000001,11.41,11.694999999999999,13.6425,7.202500000000001,12.61,13.195
07,14.9575,9.475,11.6925,13.8025,7.46,8.754999999999999,8.155000000000001,5.495,7.137499999999999,8.567499999999999,8.03,9.495000000000001,9.467500000000001,11.275,6.9975000000000005,9.86,10.687500000000002
08,15.3975,10.25,11.9025,13.625,7.779999999999999,8.6425,8.7975,5.807499999999999,7.515000000000001,9.0525,7.744999999999999,9.6925,10.307500000000001,12.1875,7.125,10.48,11.2325
09,17.605,12.61,14.26,15.947500000000002,9.280000000000001,9.932500000000001,10.7475,6.86,8.85,11.3225,8.0975,10.875,12.375,14.879999999999999,7.915,12.735000000000001,13.830000000000002
10,18.785,14.25,16.725,18.32,10.5,10.979999999999999,12.537500000000001,7.675,9.74,13.165000000000001,9.797500000000001,11.97,14.6975,16.794999999999998,8.9475,14.43,15.705
11,16.59,11.6825,14.889999999999999,16.8325,8.254999999999999,9.1325,10.110000000000001,7.7325,7.83,10.1775,9.1975,10.799999999999999,12.399999999999999,13.215,8.497499999999999,11.850000000000001,13.045000000000002
12,17.872500000000002,11.98,14.287500000000001,17.275,7.647500000000001,8.3575,10.3175,8.1075,7.4925,9.9675,8.817499999999999,11.364999999999998,11.920000000000002,12.5625,7.69,11.46,13.094999999999999
