,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북
01,33,20,25,33,21,24,20,28,25,29,16,20,38,34,26,32,29
02,31,18,23,31,19,22,19,26,23,26,14,18,35,31,24,29,26
03,34,20,25,34,21,24,21,29,25,29,16,20,39,34,26,32,29
04,33,20,24,33,21,23,20,28,25,28,16,20,38,33,25,31,28
05,34,21,25,34,22,24,21,29,26,28,16,21,39,34,26,32,29
06,33,20,25,33,21,23,20,28,25,27,16,20,38,33,26,31,28
07,34,21,26,34,22,24,21,29,26,29,16,21,39,34,27,33,29
08,34,21,26,34,22,24,21,29,26,29,17,21,39,35,27,33,29
09,33,20,25,33,21,24,21,28,25,27,16,20,38,34,26,32,28
10,34,21,26,34,22,25,21,30,26,28,17,21,39,35,27,33,29
11,33,20,25,33,21,24,21,29,25,27,16,20,38,34,26,32,29
12,34,21,26,35,22,25,22,30,26,27,17,21,40,35,27,33,30
